"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;R;SQL;VBA;Visual Basic (.Net)","Microsoft Access;Microsoft SQL Server","Managed Hosting;Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;React;Vue.js","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;HTML/CSS;Java;JavaScript;SQL;TypeScript","MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Heroku;Microsoft Azure","Angular;ASP.NET;Express;FastAPI;jQuery;NestJS;Node.js;React","Insurance","ChatGPT","AWS CodeWhisperer;Synk Code;Whispr AI","Employed, full-time;Student, part-time"
"Vanderbijlpark Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript;VBA","Cosmos DB;Firebase Realtime Database;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Managed Hosting;Microsoft Azure","Express;NestJS;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;Mintlify;Rubber Duck.AI","Independent contractor, freelancer, or self-employed"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Haskell;JavaScript;Rust;Scala;SQL;TypeScript","BigQuery;Cassandra;Cloud Firestore;Cockroachdb;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase;Google Cloud","Next.js;React","Legal Services","ChatGPT","Codeium;Synk Code;Whispr AI","Employed, full-time"
"Pretoria Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Some college/university study without earning a degree","Bash/Shell (all shells);C;Go;Groovy;JavaScript;PHP;PowerShell;Python;Rust;SQL","Cosmos DB;Elasticsearch;MariaDB;MongoDB;Redis;Snowflake","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai;VMware;Vultr","Django;Flask;Node.js","Other","ChatGPT;WolframAlpha","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time;Student, part-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;PHP;SQL;TypeScript","MariaDB;MySQL","Microsoft Azure","Angular;jQuery;Laravel","Retail and Consumer Services","ChatGPT","Favorable","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;F#;JavaScript;PowerShell;Python;SQL;TypeScript","Microsoft SQL Server;MongoDB","Google Cloud;Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Codeium;Replit Ghostwriter","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript","Dynamodb;Elasticsearch;PostgreSQL;Snowflake;SQLite","Amazon Web Services (AWS)","Django;FastAPI;Node.js","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Durban Campus","IT","I am a developer by profession","Project manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;PHP;TypeScript","Cloud Firestore;PostgreSQL","Firebase;Google Cloud","Vue.js","Other","ChatGPT","Codeium;GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","JavaScript;TypeScript","Firebase Realtime Database;MongoDB;MySQL","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Express;Fastify;NestJS;Node.js","Financial Services","Google Bard AI","Codeium;GitHub Copilot;Synk Code","Employed, full-time;Student, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;HTML/CSS;JavaScript;Objective-C;PHP;Swift","Firebase Realtime Database;MySQL;SQLite","Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure;VMware","Drupal;jQuery;WordPress","Financial Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;MATLAB;Python;SQL","PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;Render","Django;Flask","Advertising Services","Bing AI;ChatGPT;Google Bard AI","Adrenaline","Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net)","PostgreSQL","Amazon Web Services (AWS);Google Cloud;Heroku;Vercel","AngularJS;Express;Node.js;React","Other","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);PowerShell;Python;SQL","Dynamodb;Oracle","Amazon Web Services (AWS);Heroku;Oracle Cloud Infrastructure (OCI)","Django","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Tabnine","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL","MySQL","Amazon Web Services (AWS);Managed Hosting;OVH;VMware","jQuery;Node.js;Symfony","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","HTML/CSS;JavaScript;PHP;Python","Dynamodb;Elasticsearch;MongoDB;MySQL","Amazon Web Services (AWS);Digital Ocean","Django;Express;Laravel;Next.js;Node.js;Symfony;Vue.js","Oil & Gas","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Python;SQL","Microsoft SQL Server","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Employed, full-time"
"Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;HTML/CSS;JavaScript;Perl;PowerShell;Python;Ruby;SQL","MariaDB;MongoDB;SQLite","Microsoft Azure","jQuery;Next.js;Node.js;React;Ruby on Rails","Wholesale","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, part-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Cloud infrastructure engineer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;PowerShell","Cosmos DB","Microsoft Azure","ASP.NET CORE","Higher Education","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);JavaScript;Python;SQL","PostgreSQL;Redis;SQLite","Amazon Web Services (AWS)","Django;Flask;jQuery","Legal Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Nim;PHP;Python;R;TypeScript","MariaDB;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Hetzner;Microsoft Azure;Oracle Cloud Infrastructure (OCI)","Express;jQuery;Laravel;NestJS;Nuxt.js;Vue.js","Other","ChatGPT","Mintlify;Tabnine","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Cosmos DB;Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;React","Financial Services","ChatGPT","Codeium","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL","Heroku;Netlify","Angular;Symfony;WordPress","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Lisp;PowerShell","MySQL","Amazon Web Services (AWS)","AngularJS;jQuery;React;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Go;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server;PostgreSQL;SQLite","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Educator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;HTML/CSS;Java;Kotlin","Firebase Realtime Database;Microsoft SQL Server;MySQL","Firebase","Node.js;Ruby on Rails;Spring Boot","Other","ChatGPT","Adrenaline;GitHub Copilot","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;JavaScript;Rust;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure","ASP.NET;ASP.NET CORE;NestJS;Next.js;Node.js;React;Remix;Svelte;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;Erlang;Java;Kotlin;Lua;SQL","PostgreSQL","Amazon Web Services (AWS);Fly.io;Netlify;Vercel","Laravel;Phoenix;React;Spring Boot","Oil & Gas","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;Rust;TypeScript;Zig","MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS)","Node.js;React;Svelte;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Python","Dynamodb;PostgreSQL;Redis","Amazon Web Services (AWS)","FastAPI","Healthcare","ChatGPT","Rubber Duck.AI;Synk Code","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;SQL;TypeScript","MySQL;PostgreSQL;Redis","Amazon Web Services (AWS)","React","Insurance","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;Java;JavaScript;Python;SQL","Elasticsearch;Oracle;PostgreSQL","Amazon Web Services (AWS)","jQuery;Spring Boot","Other","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time"
"Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust","PostgreSQL;SQLite","Amazon Web Services (AWS);Google Cloud","Flask;jQuery","Healthcare","ChatGPT","Adrenaline;GitHub Copilot","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Python","PostgreSQL","Google Cloud","FastAPI","Healthcare","ChatGPT","AWS CodeWhisperer;Mintlify","Employed, full-time"
"Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Primary/elementary school","HTML/CSS;JavaScript;PHP;SQL","MySQL","Digital Ocean","Laravel;Nuxt.js;Vue.js;WordPress","Advertising Services","ChatGPT","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Data Science","I am a developer by profession","Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript","MariaDB;PostgreSQL","Digital Ocean;Hetzner;Managed Hosting","Django;Laravel;Symfony;Vue.js","Healthcare","ChatGPT","AWS CodeWhisperer","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Lua;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","AngularJS;ASP.NET;ASP.NET CORE;jQuery","Financial Services","Bing AI","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;SQL","Microsoft SQL Server;Snowflake","Microsoft Azure","ASP.NET CORE;jQuery","Oil & Gas","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;HTML/CSS;JavaScript;SQL","PostgreSQL;Redis","Amazon Web Services (AWS);Fly.io;Heroku","Phoenix","Higher Education","ChatGPT;Google Bard AI","Codeium;GitHub Copilot","Employed, full-time"
"Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;TypeScript","Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Angular;Deno;Django;Express;FastAPI;Flask;Laravel;NestJS;Next.js;Node.js;React","Oil & Gas","Bing AI;ChatGPT","Synk Code;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;Prolog;Python;SQL","MariaDB;MongoDB;MySQL","OVH","jQuery;Node.js;React;Symfony","Other","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time;Student, part-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript","Cosmos DB;Oracle","Microsoft Azure","ASP.NET CORE;Blazor;Node.js;Vue.js","Retail and Consumer Services","Bing AI;ChatGPT;WolframAlpha","Mintlify","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;Java;SQL;TypeScript","H2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud","Angular;Node.js;Spring Boot","Insurance","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time;Student, part-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript","Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;Redis","Amazon Web Services (AWS)","AngularJS;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Mintlify;Synk Code","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript","Dynamodb;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Deno;Django;FastAPI;Next.js;Node.js;React;Vue.js","Retail and Consumer Services","ChatGPT","GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;Elixir;HTML/CSS;Java;JavaScript;Ruby;Rust;Scala;SQL;TypeScript","Cassandra;Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Hetzner","Next.js;Nuxt.js;Play Framework;React;Ruby on Rails;Spring Boot;Vue.js","Insurance","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);JavaScript;PHP;PowerShell;Python;SQL;TypeScript","MariaDB;Microsoft SQL Server;MySQL","Amazon Web Services (AWS);Microsoft Azure","Express;Laravel;Node.js;Vue.js;WordPress","Advertising Services","Bing AI;ChatGPT","Adrenaline;Mintlify","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;Go;JavaScript;Python;TypeScript","InfluxDB;PostgreSQL;Solr","Amazon Web Services (AWS)","Angular;Node.js;React","Wholesale","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Lua;Rust;TypeScript","Couchbase","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure","Node.js;React;Solid.js;Svelte","Insurance","Bing AI;ChatGPT;Google Bard AI","AWS CodeWhisperer;Replit Ghostwriter","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I used to be a developer by profession, but no longer am","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;Clojure;HTML/CSS;Java;JavaScript;Lisp;Scala","Datomic;Dynamodb;Elasticsearch;H2;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;Solr","Amazon Web Services (AWS);Google Cloud;Heroku;Netlify;Vercel","Angular;jQuery;React","Insurance","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;Go;Groovy;Java;JavaScript;Lua;MATLAB;PHP;Python;Ruby;Scala;SQL","BigQuery;MySQL;PostgreSQL;SQLite","Google Cloud;Microsoft Azure","Express;React","Oil & Gas","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Employed, full-time;Student, full-time"
"Pretoria Campus","IT","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;R;SAS;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;WordPress","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","Dart;HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Scaleway","AngularJS;Express;Fastify;NestJS;Node.js;React;WordPress","Financial Services","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;Rust","PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud","Phoenix","Legal Services","ChatGPT","Codeium;GitHub Copilot","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;R;SQL","Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite","VMware","Angular;AngularJS;Django;Spring Boot","Healthcare","ChatGPT","AWS CodeWhisperer;Mintlify","Employed, full-time;Student, part-time"
"Durban Campus","IT","I am a developer by profession","Developer, front-end","Something else","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;Swift","MongoDB;MySQL;SQLite;Supabase","Netlify","Django;Flask;jQuery;Vue.js","Healthcare","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Independent contractor, freelancer, or self-employed"
"Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;C;C++;Haskell;HTML/CSS;Java;JavaScript;PHP;SQL","Dynamodb;Elasticsearch;H2;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;Microsoft Azure;OpenShift","Angular;AngularJS;Drupal;jQuery;Laravel;Next.js;Node.js;React;Spring Boot;Symfony;Vue.js","Other","ChatGPT","GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Erlang;Java;Kotlin;MATLAB;VBA","Couch DB;MariaDB;Microsoft Access;MySQL;Oracle","Google Cloud","jQuery;Node.js","Higher Education","ChatGPT","Favorable","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS)","Express;Next.js;Node.js;React","Advertising Services","ChatGPT","AWS CodeWhisperer;Synk Code;Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Python;Scala;SQL","MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase","Angular;jQuery;Node.js;Spring Boot;Vue.js","Financial Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;PHP;Python;SQL","Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis;Snowflake;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;Managed Hosting","Spring Boot","Healthcare","ChatGPT","Codeium;GitHub Copilot","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;Kotlin;Ruby;SQL;Swift","MySQL;PostgreSQL","Amazon Web Services (AWS)","Express;React;Ruby on Rails;Vue.js","Legal Services","ChatGPT","Adrenaline;GitHub Copilot;Tabnine","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript","Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;Node.js;React","Healthcare","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;Python;Rust","Cloud Firestore;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;SQLite","Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;Vercel","Express;FastAPI;Flask;Next.js;Node.js;React;Spring Boot;Vue.js","Insurance","Bing AI;ChatGPT;WolframAlpha","AWS CodeWhisperer;Synk Code;Whispr AI","Employed, full-time;Student, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python;Swift","Cloud Firestore;MongoDB;PostgreSQL","Amazon Web Services (AWS);Firebase","Express;Node.js;React","Oil & Gas","Bing AI;ChatGPT","Rubber Duck.AI;Synk Code","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am learning to code","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript","Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure","Drupal;Express;Node.js;React;Symfony","Healthcare","ChatGPT","Synk Code;Tabnine","Employed, full-time"
